Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Canada;79.16682927;79.39804878;79.53073171;79.71512195;79.99219512;80.11268293;80.54365854;80.54365854;80.72463415;81.06609756;81.32219512;81.48268293;81.66365854;81.74487805;81.78439024;81.81560976;81.92487805;81.83292683;81.84390244;82.22878049;81.6704878;82.59660976
Switzerland;79.6804878;80.1804878;80.38536585;80.53658537;81.08780488;81.23658537;81.4902439;81.74146341;81.99268293;82.04390244;82.24634146;82.69512195;82.69756098;82.79756098;83.19756098;82.89756098;83.60243902;83.55121951;83.75365854;83.90487805;83;83.85121951
Channel Islands;79.155;79.277;78.906;79.618;80.125;80.344;80.694;81.166;81.317;80.995;81.12;81.726;81.339;81.516;81.884;81.433;81.366;81.331;81.375;81.39;81.264;81.232
Chile;76.87;76.773;77.445;77.387;77.616;78.016;78.261;77.826;78.484;78.741;78.501;79.11;79.023;79.339;79.473;79.746;80.079;80.35;80.133;80.326;79.377;78.944
China;71.881;72.606;72.985;73.371;73.748;74.111;74.504;74.762;74.872;75.343;75.599;75.903;76.192;76.452;76.717;76.977;77.218;77.248;77.744;77.968;78.077;78.211
Cote d'Ivoire;50.842;50.81;50.886;50.954;51.363;51.824;52.355;52.97;53.653;54.394;55.023;55.52;56.158;56.748;57.208;57.762;58.06;58.48;58.849;59.319;59.032;58.598
Cameroon;52.932;53.142;53.415;53.883;54.178;54.362;54.856;55.165;55.655;56.102;56.582;57.133;57.792;58.476;58.935;59.658;60.233;60.81;61.18;61.584;60.833;60.333
Congo, Dem. Rep.;51.781;52.116;52.333;52.827;53.426;53.927;54.534;54.923;55.339;55.836;56.417;57.069;57.248;57.762;58.296;58.49;59.066;59.411;59.942;60.276;59.739;59.193
Congo, Rep.;53.682;54.395;55.088;55.948;56.986;58.126;58.878;59.643;60.426;61.088;61.683;61.992;62.317;62.695;62.95;63.233;63.577;63.76;64.053;62.747;63.785;63.519
Colombia;71.32;71.502;71.939;72.361;72.695;73.081;73.468;73.837;74.295;74.742;75.033;75.32;75.597;75.827;76.043;76.257;76.471;76.646;76.748;76.752;74.769;72.83
Comoros;58.757;59.163;59.056;59.258;59.48;59.604;59.875;60.102;60.475;60.831;61.123;61.503;61.834;62.224;62.516;62.896;63.237;63.625;63.912;64.068;64.166;63.417
Cabo Verde;68.618;69.929;70.705;71.429;71.999;72.68;72.239;72.835;72.508;73.088;73.499;74.257;74.484;75.059;75.24;74.62;75.742;76.593;75.733;76.004;74.808;74.052
Costa Rica;77.586;77.545;77.983;78.072;78.331;78.505;78.514;78.462;78.445;78.672;78.67;79.348;79.283;79.403;78.774;79.086;79.459;79.377;79.484;79.427;79.277;77.023
Caribbean small states;69.60933316;69.70136283;69.97006694;69.7958452;70.22531816;70.48233589;70.70069035;71.02797164;71.17746943;71.8319071;72.01868933;72.35846114;72.64070319;72.72090848;72.68087691;72.61026362;72.5605217;72.60089458;72.58368687;72.52340995;72.57920388;70.99625867
Cuba;76.183;76.421;76.612;76.773;76.912;77.047;77.179;77.307;77.429;77.548;77.661;77.76;77.833;77.87;77.853;77.772;77.643;77.529;77.496;77.611;77.567;73.683
Curacao;73.03395122;73.1107561;73.21153659;73.3535122;73.42892683;73.56570732;74.7097561;75.36341463;75.3097561;76.15609756;;77.47317073;77.52439024;77.82682927;77.97560976;78.07560976;77.7195122;78.01707317;;;;
Cayman Islands;;;;;;;;;;;82.1902439;;;;;;;;;;;
Cyprus;76.568;76.989;77.487;77.788;77.944;78.101;78.371;78.81;78.981;79.401;79.665;79.999;80.109;80.402;80.771;80.966;81.056;81.328;81.382;81.397;81.391;81.203
Czechia;74.96829268;75.17317073;75.22195122;75.17073171;75.72195122;75.92439024;76.52439024;76.72439024;76.97560976;77.07804878;77.42439024;77.87317073;78.07560976;78.17560976;78.82439024;78.57804878;79.02682927;78.97804878;79.02926829;79.22926829;78.22682927;77.37317073
Germany;77.92682927;78.32926829;78.22926829;78.3804878;78.6804878;78.93170732;79.13170732;79.53414634;79.73658537;79.83658537;79.98780488;80.43658537;80.53902439;80.4902439;81.0902439;80.64146341;80.9902439;80.99268293;80.89268293;81.29268293;81.04146341;80.90097561
Djibouti;56.573;56.903;57.215;57.595;57.759;58.316;58.715;59.024;59.365;59.673;60.259;60.433;60.848;61.221;61.641;61.957;62.191;62.797;63.038;63.085;62.694;62.305
Dominica;72.693;71.713;72.34;71.438;72.401;72.254;72.848;71.93;73.305;72.17;71.55;69.695;70.538;68.896;69.434;68.727;70.128;67.525;73.59;73.559;73.649;72.814
Denmark;76.59268293;76.79268293;76.89512195;77.14390244;77.49268293;77.84390244;78.09512195;78.19512195;78.44634146;78.59756098;79.1;79.8;80.05121951;80.3;80.7;80.70243902;80.85365854;81.10243902;80.95365854;81.45121951;81.60243902;81.40487805
Dominican Republic;69.423;69.642;69.923;70.265;70.331;70.875;71.165;71.371;71.658;71.871;72.093;72.221;72.514;72.713;72.867;72.953;72.987;73.063;73.232;73.577;72.889;72.615
Algeria;70.478;70.823;71.23;71.287;71.762;72.061;72.334;72.602;72.941;73.62;73.808;74.123;74.202;74.615;75.11;75.622;75.732;75.743;76.066;76.474;74.453;76.377
Ecuador;72.839;73.24;73.613;73.975;74.279;74.514;74.689;74.844;74.983;75.184;75.43;75.743;76.062;76.369;76.622;76.789;76.763;76.972;77.094;77.297;72.153;73.67
Eritrea;56.111;58.298;58.811;59.409;59.899;60.597;61.611;62.116;62.573;63.328;63.787;64.402;64.838;65.067;65.6;66.033;66.289;66.577;67.067;67.3;67.133;66.536
Spain;78.96585366;79.36829268;79.56829268;79.6195122;79.87073171;80.17073171;80.82195122;80.87317073;81.17560976;81.47560976;81.62682927;82.47560976;82.42682927;83.07804878;83.22926829;82.83170732;83.32926829;83.28292683;83.43170732;83.83170732;82.33170732;83.17804878
Estonia;70.41707317;70.25853659;70.90487805;71.31707317;71.9097561;72.56829268;72.69146341;72.81463415;73.77073171;74.82439024;75.42926829;76.22926829;76.32682927;77.14146341;77.03414634;77.5902439;77.64146341;78.09268293;78.24390244;78.64634146;78.59512195;76.74146341
Ethiopia;50.538;51.043;51.517;52.533;53.235;54.008;55.149;56.426;57.592;58.804;59.73;60.721;61.543;62.373;62.905;63.649;64.392;64.838;65.412;65.838;65.371;64.975
Finland;77.46585366;77.96585366;78.1195122;78.36829268;78.71463415;78.81707317;79.21463415;79.26341463;79.56829268;79.7195122;79.87073171;80.47073171;80.62682927;80.97560976;81.1804878;81.4804878;81.42926829;81.63170732;81.73414634;81.98292683;81.93170732;81.93414634
Fiji;66.31;66.34;65.748;66.177;66.424;66.632;66.855;66.826;66.935;67.089;67.328;67.523;67.552;67.428;67.376;66.844;67.24;67.79;67.81;67.893;67.924;67.114
France;79.05609756;79.15853659;79.26097561;79.11463415;80.16341463;80.16341463;80.81219512;81.11219512;81.21463415;81.41463415;81.66341463;82.11463415;81.96829268;82.2195122;82.7195122;82.32195122;82.57317073;82.57560976;82.67560976;82.82682927;82.17560976;82.32439024
Faroe Islands;78.43658537;78.64146341;78.84390244;78.94390244;79.09268293;79.2902439;79.63902439;79.98780488;80.08536585;80.38536585;80.63658537;80.93902439;81.1902439;81.44146341;81.59268293;81.79268293;82.04390244;82.34390244;82.59512195;82.94634146;83.19756098;83.49756098
Gabon;61.069;61.27;61.292;61.671;61.838;61.959;62.375;62.618;63.083;63.303;63.898;64.045;64.587;64.776;64.974;65.46;65.802;66.189;66.306;66.603;66.531;65.821
United Kingdom;77.74146341;77.99268293;78.14390244;78.44634146;78.74634146;79.04878049;79.24878049;79.44878049;79.6;80.05121951;80.40243902;80.95121951;80.90487805;81.00487805;81.30487805;80.95609756;81.15609756;81.25609756;81.25609756;81.40487805;80.35121951;80.7
Georgia;69.575;69.606;70.024;70.333;70.567;71.13;71.394;71.568;71.332;71.95;72.128;72.39;72.412;72.628;73.099;73.297;73.569;73.57;73.341;73.47;72.765;71.694
Ghana;58.195;58.107;58.608;59.111;59.191;59.76;59.988;60.224;60.49;60.946;61.157;61.652;62.081;62.42;63.045;63.175;63.89;64.013;64.122;64.74;64.114;63.795
Gibraltar;81.37;81.087;80.26;79.694;80.948;81.442;80.393;78.514;80.13;81.243;80.958;81.871;83.366;80.55;81.882;80.427;81.702;81.83;82.154;82.363;82.198;79.329
Guinea;52.479;52.662;53.278;53.678;54.117;54.632;55.108;55.553;56.044;56.348;56.72;57.019;57.406;57.791;57.886;58.134;58.763;59.109;59.349;59.72;59.327;58.892
Gambia, The;56.942;57.043;57.08;57.586;58.088;58.394;59.06;59.394;60.082;60.427;60.717;61.526;62.096;62.114;62.269;62.494;63.013;62.995;63.04;63.755;62.612;62.083
Guinea-Bissau;50.121;50.445;50.986;51.405;52.15;52.249;53.371;54.155;54.646;55.541;56.23;56.967;57.69;58.232;58.61;59.128;59.674;60.066;60.502;60.882;59.999;59.652
Equatorial Guinea;53.226;53.636;54.085;54.581;55.036;55.464;56.046;56.54;57.074;57.431;57.878;58.412;58.865;59.224;59.595;60.103;60.479;60.821;61.191;61.644;60.708;60.594
Greece;77.88780488;78.38780488;78.64146341;78.84146341;79.03902439;79.23902439;79.43902439;79.43902439;79.93902439;80.18780488;80.38780488;80.73170732;80.63414634;81.28536585;81.38536585;81.03658537;81.38780488;81.28780488;81.78780488;81.63902439;81.28780488;80.18292683
Grenada;72.783;73.118;73.167;73.188;71.788;73.521;73.7;74.317;74.656;75.036;74.999;75.295;75.042;75.116;74.985;75.013;74.762;74.765;74.808;74.863;74.924;74.936
Greenland;66.10073171;66.73487805;67.15292683;68.02243902;68.64390244;68.42243902;68.61658537;69.32292683;70.01512195;70.52804878;70.29195122;69.82487805;70.55;71.57341463;71.98560976;71.97731707;71.82512195;71.64121951;71.88658537;72.04365854;71.63682927;71.14756098
Guatemala;67.446;67.946;68.386;68.797;69.165;69.168;69.812;70.1;70.356;70.641;70.878;71.177;71.463;71.728;71.964;72.103;72.355;72.551;72.726;73.129;71.797;69.237
Guam;74.417;75.41;75.793;76.504;76.923;77.182;77.136;77.098;77.185;77.094;76.879;76.872;76.707;76.72;76.749;76.616;76.877;77.155;77.439;77.717;76.612;76.656
Guyana;64.483;64.788;64.728;64.6;64.93;65.132;65.667;66.254;66.288;66.563;66.743;66.982;67.23;67.473;67.882;68.201;68.384;68.667;68.896;69.124;68.486;65.673
Hong Kong SAR, China;80.87804878;81.42439024;81.42682927;81.37804878;81.82926829;81.62926829;82.37560976;82.32682927;82.37560976;82.77560976;82.97804878;83.42195122;83.4804878;83.83170732;83.9804878;84.27804878;84.22682927;84.6804878;84.93414634;85.1804878;85.49756098;85.49268293
Honduras;68.662;69.006;69.366;69.507;69.796;70.104;70.261;70.376;70.441;70.911;71.088;71.439;71.734;71.963;72.259;72.487;72.588;72.692;72.814;72.881;71.462;70.123
Croatia;72.80780488;74.51292683;74.71731707;74.61390244;75.5202439;75.24463415;75.83682927;75.70560976;75.91219512;76.16829268;76.47560976;76.77560976;76.92439024;77.12682927;77.47804878;77.27560976;78.02195122;77.82682927;78.07073171;78.42439024;77.72439024;76.42439024
Haiti;58.365;58.489;58.855;59.507;58.475;60.415;60.763;61.103;61.332;61.741;46.019;61.623;62.291;62.605;62.987;63.237;63.392;63.854;64.019;64.255;64.052;63.192
Hungary;71.24634146;72.24878049;72.34878049;72.3;72.64878049;72.64878049;73.09756098;73.15121951;73.70243902;73.90487805;74.20731707;74.85853659;75.06341463;75.56585366;75.76341463;75.56829268;76.06341463;75.81707317;76.06585366;76.3195122;75.56829268;74.46585366
Indonesia;66.433;66.758;67.134;67.413;65.75;67.649;67.914;68.189;68.226;68.494;68.679;68.823;68.973;69.264;69.533;69.699;69.798;69.936;70.338;70.518;68.808;67.57
Isle of Man;74.725;75.51;75.42;76.096;76.966;77.623;78.191;78.331;78.449;78.681;78.983;79.19;79.337;79.473;80.037;78.905;80.314;80.457;80.596;80.737;80.588;80.525
India;62.669;63.091;63.616;64.094;64.524;64.996;65.412;65.788;66.149;66.513;66.909;67.359;67.887;68.46;69.074;69.636;70.117;70.467;70.71;70.91;70.15;67.24
Ireland;76.53658537;77.13414634;77.63414634;78.13902439;78.53902439;78.94390244;79.24146341;79.64146341;80.09512195;80.1902439;80.74390244;80.74634146;80.84634146;80.94878049;81.34878049;81.45365854;81.65365854;82.15609756;82.20487805;82.70243902;82.55609756;82.10243902
Iran, Islamic Rep.;69.691;69.955;70.445;69.823;71.37;71.838;72.276;72.772;72.624;72.698;73.069;73.679;74.186;74.449;74.782;75.124;75.6;75.971;76.195;76.103;74.832;73.875
Iraq;66.817;67.034;67.084;65.643;65.031;64.844;63.587;63.553;64.942;66.446;67.062;67.659;68.023;68.253;68.914;69.44;68.988;70.413;71.514;71.576;69.123;70.378
Iceland;79.65365854;80.6902439;80.50243902;80.96341463;80.99756098;81.50243902;81.15853659;81.45365854;81.6097561;81.75121951;81.89756098;82.35853659;82.91707317;82.06097561;82.86097561;82.46829268;82.20487805;82.66097561;82.86097561;83.16341463;83.06341463;83.11707317
Israel;78.95365854;79.40731707;79.45121951;79.64878049;80.14634146;80.15121951;80.55365854;80.50487805;80.95121951;81.40487805;81.60243902;81.65609756;81.70487805;82.05609756;82.15365854;82.05121951;82.40731707;82.55121951;82.80243902;82.80487805;82.64878049;82.5
Italy;79.77804878;80.12682927;80.22926829;79.98292683;80.7804878;80.78292683;81.28292683;81.43414634;81.48536585;81.63658537;82.03658537;82.18780488;82.23902439;82.6902439;83.0902439;82.54390244;83.24390244;82.94634146;83.34634146;83.49756098;82.19512195;82.79512195
Jamaica;70.944;70.758;70.888;70.806;70.86;71.044;71.199;71.418;71.612;72.124;72.622;73.094;73.433;73.412;72.982;72.394;72.02;71.911;71.793;71.767;71.869;70.5
Jordan;71.918;72.147;72.359;72.573;72.772;72.932;73.145;73.373;73.591;73.801;74;74.189;74.366;74.562;74.789;75.011;75.215;75.502;75.774;76.044;75.184;74.256
Japan;81.07609756;81.41634146;81.69073171;81.76;82.0302439;81.95512195;82.32195122;82.50707317;82.58756098;82.93146341;82.84268293;82.59121951;83.09609756;83.33195122;83.58780488;83.79390244;83.98487805;84.0997561;84.21097561;84.35634146;84.56;84.44560976
Kazakhstan;65.45;65.76;65.95;65.74;66.06;65.86;66.15;66.34;67.11;68.39;68.45;68.69;69.52;70.62;71.44;71.97;72.41;72.95;73.15;73.18;71.37;70.23
Kenya;54.411;54.508;54.99;55.601;56.361;57.344;58.222;58.865;59.614;60.365;60.649;61.046;61.115;61.389;61.816;61.892;62.163;62.481;62.676;62.943;62.675;61.427
Kyrgyz Republic;68.55853659;68.70731707;68.15609756;68.25609756;68.15365854;67.95609756;67.69512195;67.89512195;68.45121951;69.10243902;69.3;69.60243902;70.00243902;70.20243902;70.40243902;70.65121951;70.95121951;71.2;71.4;71.6;71.8;71.9
Cambodia;58.625;59.966;61.226;62.523;63.552;64.293;65.059;65.731;66.47;67.444;67.712;68.416;68.915;69.304;69.736;69.873;70.224;70.515;70.561;70.692;70.416;69.584
Kiribati;64.409;64.655;64.84;64.954;64.989;64.967;64.906;64.844;64.834;64.892;65.016;65.19;65.378;65.588;65.815;66.059;66.332;66.597;66.855;67.15;67.266;67.417
St. Kitts and Nevis;69.781;70.2;70.452;70.768;71.303;71.362;71.288;71.367;71.374;71.393;71.27;71.538;71.669;71.457;70.966;70.763;71.74;71.84;71.467;71.572;71.627;71.682
Korea, Rep.;75.9097561;76.41219512;76.76585366;77.21463415;77.66585366;78.16829268;78.66829268;79.1195122;79.51707317;79.96829268;80.11707317;80.56829268;80.8195122;81.27073171;81.72195122;82.02439024;82.27560976;82.62682927;82.62682927;83.22682927;83.42682927;83.52682927
Kuwait;76.722;76.891;76.982;76.985;76.792;76.903;76.887;77.017;77.145;77.442;77.982;78.464;78.812;79.164;79.445;79.562;79.701;79.781;79.722;79.685;76.92;78.673
Lebanon;73.931;74.365;75.064;75.593;75.976;76.273;76.08;77.08;77.584;77.889;78.156;78.404;78.628;78.765;78.973;79.229;79.505;79.654;79.729;79.236;77.804;75.047
Liberia;51.356;52.752;53.788;53.042;56.013;56.912;57.62;58.285;58.772;59.194;59.433;59.62;59.913;59.943;59.121;59.148;60.416;60.553;60.853;61.104;60.948;60.747
Libya;70.68;70.861;71.004;71.132;71.49;71.592;71.724;71.863;72.269;72.356;72.374;70.071;72.247;72.34;71.511;71.698;71.756;72.482;72.794;72.463;72.472;71.911
St. Lucia;70.768;71.135;71.472;71.771;72.028;72.245;72.465;72.599;72.698;72.722;72.72;72.944;72.882;72.735;72.864;73.138;73.112;73.127;73.357;73.445;73.416;71.111
Liechtenstein;76.82682927;79.27560976;79.63658537;79.96097561;81.77073171;80.66829268;80.94878049;81.29512195;82.68292683;81.5;81.84146341;81.79268293;82.38292683;82.26097561;82.07317073;82.65609756;82.25853659;83.74634146;83.04146341;84.16097561;81.65853659;84.40243902
Sri Lanka;70.355;70.787;71.117;71.373;67.091;72.118;71.969;72.049;71.729;69.187;73.215;73.38;73.906;74.239;74.651;74.927;75.331;75.403;75.748;76.008;76.393;76.399
Lesotho;48.427;46.849;45.595;44.53;43.711;43.233;42.914;43.123;43.566;44.034;45.596;46.692;47.835;49.002;50.033;51.101;52.264;53.064;53.733;54.173;54.693;53.062
Lithuania;72.0195122;71.65853659;71.76097561;72.06097561;71.96097561;71.25365854;71.05609756;70.9;71.81219512;72.91463415;73.26829268;73.56341463;73.86341463;73.91463415;74.51707317;74.32195122;74.67073171;75.4804878;75.6804878;76.28292683;74.97804878;74.33902439
Luxembourg;77.87317073;77.82439024;77.96585366;77.72682927;79.12195122;79.43170732;79.28780488;79.38292683;80.53902439;80.63658537;80.63170732;80.98780488;81.39268293;81.8;82.22926829;82.29268293;82.68536585;82.09512195;82.29512195;82.63902439;82.14390244;82.74878049
Latvia;70.31463415;70.76097561;70.96097561;71.26585366;72.02682927;71.35609756;70.86585366;71.0195122;72.4195122;73.0804878;73.48292683;73.57560976;73.77804878;73.98292683;74.12439024;74.4804878;74.5804878;74.62926829;74.78292683;75.38780488;75.18536585;73.28292683
Morocco;66.787;67.18;67.547;67.915;68.231;68.704;69.128;69.604;70.048;70.458;70.829;71.269;71.679;72.122;72.538;72.92;73.284;73.66;73.986;74.27;73.92;74.042
Monaco;;;;;;;;;;;;;;;;;;;;;;
Moldova;66.417;66.787;66.938;67.419;67.861;68.169;68.479;68.947;69.394;69.573;69.357;69.192;69.143;69.099;69.031;69.24;69.917;70.516;70.492;70.935;70.166;68.846
Madagascar;57.938;58.57;58.892;59.491;60.149;60.57;61.315;61.757;62.142;62.734;62.873;63.494;63.544;63.962;64.255;64.339;64.997;65.094;65.27;65.882;65.182;64.485
Maldives;70.876;72.181;73.291;74.06;73.538;74.751;75.13;75.686;76.543;77.069;77.657;78.124;78.682;79.057;79.424;79.695;79.872;79.943;80.013;80.116;79.875;79.918
Mexico;73.569;73.867;74.106;74.274;74.372;74.376;74.331;74.238;74.152;74.119;74.19;74.365;74.574;74.739;74.797;74.682;74.412;74.138;74.015;74.202;70.133;70.213
Marshall Islands;63.275;63.642;63.719;63.745;63.695;63.585;63.489;63.36;63.236;63.23;63.226;63.256;63.373;63.464;63.623;63.827;64.057;64.27;64.5;64.746;64.977;65.269
Mali;50.539;51.284;52.222;52.893;53.538;54.003;54.615;54.941;55.291;55.874;56.382;56.755;57.079;57.357;57.9;58.363;58.731;59.132;59.393;59.664;58.633;58.941
Malta;78.34878049;78.84390244;78.73902439;78.54634146;79.25365854;79.3;79.43902439;79.79268293;79.63658537;80.24146341;81.39756098;80.74634146;80.74634146;81.74634146;82.04634146;81.89756098;82.45365854;82.34634146;82.44878049;82.85853659;82.34878049;82.86097561
Myanmar;60.155;60.416;60.725;60.98;61.25;61.599;61.893;62.371;56.506;63.155;63.329;63.901;64.141;64.815;65.056;65.561;65.685;65.843;66.465;66.61;66.797;65.672
Montenegro;73.8184878;74.06941463;73.9064878;73.93173171;74.56395122;73.98292683;73.83902439;74.33902439;75.13658537;75.14390244;75.9902439;75.98292683;76.2;76.4902439;76.44146341;76.44878049;76.44146341;76.48536585;76.84146341;76.68292683;75.93170732;73.82439024
Mongolia;62.882;63.279;63.518;64.208;64.796;64.879;65.513;65.97;66.382;66.766;67.182;67.439;68.111;68.585;69.047;69.498;69.865;70.237;71.199;71.822;72.141;70.975
Mozambique;49.491;50.065;50.59;50.87;51.249;51.561;51.961;52.566;53.164;53.788;54.198;54.869;55.639;56.492;57.274;58.151;59.038;59.771;60.526;61.166;61.172;59.325
Mauritania;61.028;61.185;61.268;61.347;61.593;61.656;61.891;62.228;62.399;62.8;63.105;63.346;63.578;63.911;64.155;64.485;64.768;65.083;65.31;65.687;64.532;64.364
Mauritius;71.66341463;71.76585366;71.96585366;72.11707317;72.26585366;72.43219512;72.43219512;72.57073171;72.57073171;72.88243902;72.96731707;73.26682927;73.86341463;74.01707317;74.19439024;74.35317073;74.39487805;74.51463415;74.41634146;74.23585366;74.17707317;73.6802439
Malawi;44.518;45.895;47.221;48.79;50.453;52.044;53.238;53.946;54.604;55.448;56.381;57.455;58.679;59.729;60.899;61.378;62.209;62.977;63.276;64.119;63.717;62.904
Malaysia;72.775;73.344;73.563;73.796;73.898;74.096;74.164;74.211;74.25;74.227;74.442;74.746;74.944;75.035;75.146;75.094;75.289;75.476;75.644;75.76;75.938;74.884
Namibia;51.99;51.26;51.254;51.083;51.246;51.787;52.655;53.68;54.653;55.496;56.015;56.553;57.64;58.694;59.822;60.7;61.682;62.293;62.586;63.075;62.829;59.269
New Caledonia;75.16341463;74.83170732;75.10243902;75.27073171;75.47073171;75.72195122;76.07560976;76.47804878;76.6804878;76.9804878;77.2804878;76.63170732;77.07804878;77.17804878;77.23658537;77.2804878;76.93170732;77.53902439;80.00309756;80.41970732;80.83495122;79.12734146
Niger;49.322;49.841;50.562;51.434;52.589;53.59;54.596;55.553;56.508;57.396;58.367;58.994;59.65;60.239;60.786;61.083;61.629;62.16;62.454;62.897;61.451;61.576
